Sample in Buffer,Sample in Window,TRIGGER,data_out_probe_in[7:0],cnt_out_addr_in[7:0]
0,0,0,7b,81
1,1,0,78,82
2,2,0,74,83
3,3,0,71,84
4,4,0,6e,85
5,5,0,6b,86
6,6,0,68,87
7,7,0,65,88
8,8,0,62,89
9,9,0,5f,8a
10,10,0,5c,8b
11,11,0,59,8c
12,12,0,56,8d
13,13,0,53,8e
14,14,0,50,8f
15,15,0,4d,90
16,16,0,4a,91
17,17,0,47,92
18,18,0,44,93
19,19,0,42,94
20,20,0,3f,95
21,21,0,3c,96
22,22,0,39,97
23,23,0,37,98
24,24,0,34,99
25,25,0,32,9a
26,26,0,2f,9b
27,27,0,2d,9c
28,28,0,2a,9d
29,29,0,28,9e
30,30,0,26,9f
31,31,0,24,a0
32,32,0,21,a1
33,33,0,1f,a2
34,34,0,1d,a3
35,35,0,1b,a4
36,36,0,19,a5
37,37,0,17,a6
38,38,0,16,a7
39,39,0,14,a8
40,40,0,12,a9
41,41,0,11,aa
42,42,0,0f,ab
43,43,0,0e,ac
44,44,0,0c,ad
45,45,0,0b,ae
46,46,0,0a,af
47,47,0,08,b0
48,48,0,07,b1
49,49,0,06,b2
50,50,0,05,b3
51,51,0,04,b4
52,52,0,04,b5
53,53,0,03,b6
54,54,0,02,b7
55,55,0,02,b8
56,56,0,01,b9
57,57,0,01,ba
58,58,0,00,bb
59,59,0,00,bc
60,60,0,00,bd
61,61,0,00,be
62,62,0,00,bf
63,63,0,00,c0
64,64,0,00,c1
65,65,0,00,c2
66,66,0,00,c3
67,67,0,00,c4
68,68,0,01,c5
69,69,0,01,c6
70,70,0,02,c7
71,71,0,02,c8
72,72,0,03,c9
73,73,0,04,ca
74,74,0,05,cb
75,75,0,06,cc
76,76,0,07,cd
77,77,0,08,ce
78,78,0,09,cf
79,79,0,0a,d0
80,80,0,0c,d1
81,81,0,0d,d2
82,82,0,0e,d3
83,83,0,10,d4
84,84,0,11,d5
85,85,0,13,d6
86,86,0,15,d7
87,87,0,17,d8
88,88,0,18,d9
89,89,0,1a,da
90,90,0,1c,db
91,91,0,1e,dc
92,92,0,20,dd
93,93,0,23,de
94,94,0,25,df
95,95,0,27,e0
96,96,0,29,e1
97,97,0,2c,e2
98,98,0,2e,e3
99,99,0,30,e4
100,100,0,33,e5
101,101,0,36,e6
102,102,0,38,e7
103,103,0,3b,e8
104,104,0,3d,e9
105,105,0,40,ea
106,106,0,43,eb
107,107,0,46,ec
108,108,0,49,ed
109,109,0,4b,ee
110,110,0,4e,ef
111,111,0,51,f0
112,112,0,54,f1
113,113,0,57,f2
114,114,0,5a,f3
115,115,0,5d,f4
116,116,0,60,f5
117,117,0,63,f6
118,118,0,66,f7
119,119,0,6a,f8
120,120,0,6d,f9
121,121,0,70,fa
122,122,0,73,fb
123,123,0,76,fc
124,124,0,79,fd
125,125,0,7c,fe
126,126,0,7f,ff
127,127,0,7f,00
128,128,0,83,01
129,129,0,86,02
130,130,0,89,03
131,131,0,8c,04
132,132,0,8f,05
133,133,0,92,06
134,134,0,95,07
135,135,0,99,08
136,136,0,9c,09
137,137,0,9f,0a
138,138,0,a2,0b
139,139,0,a5,0c
140,140,0,a8,0d
141,141,0,ab,0e
142,142,0,ae,0f
143,143,0,b1,10
144,144,0,b4,11
145,145,0,b6,12
146,146,0,b9,13
147,147,0,bc,14
148,148,0,bf,15
149,149,0,c2,16
150,150,0,c4,17
151,151,0,c7,18
152,152,0,c9,19
153,153,0,cc,1a
154,154,0,cf,1b
155,155,0,d1,1c
156,156,0,d3,1d
157,157,0,d6,1e
158,158,0,d8,1f
159,159,0,da,20
160,160,0,dc,21
161,161,0,df,22
162,162,0,e1,23
163,163,0,e3,24
164,164,0,e5,25
165,165,0,e7,26
166,166,0,e8,27
167,167,0,ea,28
168,168,0,ec,29
169,169,0,ee,2a
170,170,0,ef,2b
171,171,0,f1,2c
172,172,0,f2,2d
173,173,0,f3,2e
174,174,0,f5,2f
175,175,0,f6,30
176,176,0,f7,31
177,177,0,f8,32
178,178,0,f9,33
179,179,0,fa,34
180,180,0,fb,35
181,181,0,fc,36
182,182,0,fd,37
183,183,0,fd,38
184,184,0,fe,39
185,185,0,fe,3a
186,186,0,ff,3b
187,187,0,ff,3c
188,188,0,ff,3d
189,189,0,ff,3e
190,190,0,ff,3f
191,191,0,ff,40
192,192,0,ff,41
193,193,0,ff,42
194,194,0,ff,43
195,195,0,ff,44
196,196,0,fe,45
197,197,0,fe,46
198,198,0,fd,47
199,199,0,fd,48
200,200,0,fc,49
201,201,0,fb,4a
202,202,0,fb,4b
203,203,0,fa,4c
204,204,0,f9,4d
205,205,0,f8,4e
206,206,0,f7,4f
207,207,0,f5,50
208,208,0,f4,51
209,209,0,f3,52
210,210,0,f1,53
211,211,0,f0,54
212,212,0,ee,55
213,213,0,ed,56
214,214,0,eb,57
215,215,0,e9,58
216,216,0,e8,59
217,217,0,e6,5a
218,218,0,e4,5b
219,219,0,e2,5c
220,220,0,e0,5d
221,221,0,de,5e
222,222,0,db,5f
223,223,0,d9,60
224,224,0,d7,61
225,225,0,d5,62
226,226,0,d2,63
227,227,0,d0,64
228,228,0,cd,65
229,229,0,cb,66
230,230,0,c8,67
231,231,0,c6,68
232,232,0,c3,69
233,233,0,c0,6a
234,234,0,bd,6b
235,235,0,bb,6c
236,236,0,b8,6d
237,237,0,b5,6e
238,238,0,b2,6f
239,239,0,af,70
240,240,0,ac,71
241,241,0,a9,72
242,242,0,a6,73
243,243,0,a3,74
244,244,0,a0,75
245,245,0,9d,76
246,246,0,9a,77
247,247,0,97,78
248,248,0,94,79
249,249,0,91,7a
250,250,0,8e,7b
251,251,0,8b,7c
252,252,0,87,7d
253,253,0,84,7e
254,254,0,81,7f
255,255,0,7e,80
256,256,0,7b,81
257,257,0,78,82
258,258,0,74,83
259,259,0,71,84
260,260,0,6e,85
261,261,0,6b,86
262,262,0,68,87
263,263,0,65,88
264,264,0,62,89
265,265,0,5f,8a
266,266,0,5c,8b
267,267,0,59,8c
268,268,0,56,8d
269,269,0,53,8e
270,270,0,50,8f
271,271,0,4d,90
272,272,0,4a,91
273,273,0,47,92
274,274,0,44,93
275,275,0,42,94
276,276,0,3f,95
277,277,0,3c,96
278,278,0,39,97
279,279,0,37,98
280,280,0,34,99
281,281,0,32,9a
282,282,0,2f,9b
283,283,0,2d,9c
284,284,0,2a,9d
285,285,0,28,9e
286,286,0,26,9f
287,287,0,24,a0
288,288,0,21,a1
289,289,0,1f,a2
290,290,0,1d,a3
291,291,0,1b,a4
292,292,0,19,a5
293,293,0,17,a6
294,294,0,16,a7
295,295,0,14,a8
296,296,0,12,a9
297,297,0,11,aa
298,298,0,0f,ab
299,299,0,0e,ac
300,300,0,0c,ad
301,301,0,0b,ae
302,302,0,0a,af
303,303,0,08,b0
304,304,0,07,b1
305,305,0,06,b2
306,306,0,05,b3
307,307,0,04,b4
308,308,0,04,b5
309,309,0,03,b6
310,310,0,02,b7
311,311,0,02,b8
312,312,0,01,b9
313,313,0,01,ba
314,314,0,00,bb
315,315,0,00,bc
316,316,0,00,bd
317,317,0,00,be
318,318,0,00,bf
319,319,0,00,c0
320,320,0,00,c1
321,321,0,00,c2
322,322,0,00,c3
323,323,0,00,c4
324,324,0,01,c5
325,325,0,01,c6
326,326,0,02,c7
327,327,0,02,c8
328,328,0,03,c9
329,329,0,04,ca
330,330,0,05,cb
331,331,0,06,cc
332,332,0,07,cd
333,333,0,08,ce
334,334,0,09,cf
335,335,0,0a,d0
336,336,0,0c,d1
337,337,0,0d,d2
338,338,0,0e,d3
339,339,0,10,d4
340,340,0,11,d5
341,341,0,13,d6
342,342,0,15,d7
343,343,0,17,d8
344,344,0,18,d9
345,345,0,1a,da
346,346,0,1c,db
347,347,0,1e,dc
348,348,0,20,dd
349,349,0,23,de
350,350,0,25,df
351,351,0,27,e0
352,352,0,29,e1
353,353,0,2c,e2
354,354,0,2e,e3
355,355,0,30,e4
356,356,0,33,e5
357,357,0,36,e6
358,358,0,38,e7
359,359,0,3b,e8
360,360,0,3d,e9
361,361,0,40,ea
362,362,0,43,eb
363,363,0,46,ec
364,364,0,49,ed
365,365,0,4b,ee
366,366,0,4e,ef
367,367,0,51,f0
368,368,0,54,f1
369,369,0,57,f2
370,370,0,5a,f3
371,371,0,5d,f4
372,372,0,60,f5
373,373,0,63,f6
374,374,0,66,f7
375,375,0,6a,f8
376,376,0,6d,f9
377,377,0,70,fa
378,378,0,73,fb
379,379,0,76,fc
380,380,0,79,fd
381,381,0,7c,fe
382,382,0,7f,ff
383,383,0,7f,00
384,384,0,83,01
385,385,0,86,02
386,386,0,89,03
387,387,0,8c,04
388,388,0,8f,05
389,389,0,92,06
390,390,0,95,07
391,391,0,99,08
392,392,0,9c,09
393,393,0,9f,0a
394,394,0,a2,0b
395,395,0,a5,0c
396,396,0,a8,0d
397,397,0,ab,0e
398,398,0,ae,0f
399,399,0,b1,10
400,400,0,b4,11
401,401,0,b6,12
402,402,0,b9,13
403,403,0,bc,14
404,404,0,bf,15
405,405,0,c2,16
406,406,0,c4,17
407,407,0,c7,18
408,408,0,c9,19
409,409,0,cc,1a
410,410,0,cf,1b
411,411,0,d1,1c
412,412,0,d3,1d
413,413,0,d6,1e
414,414,0,d8,1f
415,415,0,da,20
416,416,0,dc,21
417,417,0,df,22
418,418,0,e1,23
419,419,0,e3,24
420,420,0,e5,25
421,421,0,e7,26
422,422,0,e8,27
423,423,0,ea,28
424,424,0,ec,29
425,425,0,ee,2a
426,426,0,ef,2b
427,427,0,f1,2c
428,428,0,f2,2d
429,429,0,f3,2e
430,430,0,f5,2f
431,431,0,f6,30
432,432,0,f7,31
433,433,0,f8,32
434,434,0,f9,33
435,435,0,fa,34
436,436,0,fb,35
437,437,0,fc,36
438,438,0,fd,37
439,439,0,fd,38
440,440,0,fe,39
441,441,0,fe,3a
442,442,0,ff,3b
443,443,0,ff,3c
444,444,0,ff,3d
445,445,0,ff,3e
446,446,0,ff,3f
447,447,0,ff,40
448,448,0,ff,41
449,449,0,ff,42
450,450,0,ff,43
451,451,0,ff,44
452,452,0,fe,45
453,453,0,fe,46
454,454,0,fd,47
455,455,0,fd,48
456,456,0,fc,49
457,457,0,fb,4a
458,458,0,fb,4b
459,459,0,fa,4c
460,460,0,f9,4d
461,461,0,f8,4e
462,462,0,f7,4f
463,463,0,f5,50
464,464,0,f4,51
465,465,0,f3,52
466,466,0,f1,53
467,467,0,f0,54
468,468,0,ee,55
469,469,0,ed,56
470,470,0,eb,57
471,471,0,e9,58
472,472,0,e8,59
473,473,0,e6,5a
474,474,0,e4,5b
475,475,0,e2,5c
476,476,0,e0,5d
477,477,0,de,5e
478,478,0,db,5f
479,479,0,d9,60
480,480,0,d7,61
481,481,0,d5,62
482,482,0,d2,63
483,483,0,d0,64
484,484,0,cd,65
485,485,0,cb,66
486,486,0,c8,67
487,487,0,c6,68
488,488,0,c3,69
489,489,0,c0,6a
490,490,0,bd,6b
491,491,0,bb,6c
492,492,0,b8,6d
493,493,0,b5,6e
494,494,0,b2,6f
495,495,0,af,70
496,496,0,ac,71
497,497,0,a9,72
498,498,0,a6,73
499,499,0,a3,74
500,500,0,a0,75
501,501,0,9d,76
502,502,0,9a,77
503,503,0,97,78
504,504,0,94,79
505,505,0,91,7a
506,506,0,8e,7b
507,507,0,8b,7c
508,508,0,87,7d
509,509,0,84,7e
510,510,0,81,7f
511,511,0,7e,80
512,512,1,7b,81
513,513,0,78,82
514,514,0,74,83
515,515,0,71,84
516,516,0,6e,85
517,517,0,6b,86
518,518,0,68,87
519,519,0,65,88
520,520,0,62,89
521,521,0,5f,8a
522,522,0,5c,8b
523,523,0,59,8c
524,524,0,56,8d
525,525,0,53,8e
526,526,0,50,8f
527,527,0,4d,90
528,528,0,4a,91
529,529,0,47,92
530,530,0,44,93
531,531,0,42,94
532,532,0,3f,95
533,533,0,3c,96
534,534,0,39,97
535,535,0,37,98
536,536,0,34,99
537,537,0,32,9a
538,538,0,2f,9b
539,539,0,2d,9c
540,540,0,2a,9d
541,541,0,28,9e
542,542,0,26,9f
543,543,0,24,a0
544,544,0,21,a1
545,545,0,1f,a2
546,546,0,1d,a3
547,547,0,1b,a4
548,548,0,19,a5
549,549,0,17,a6
550,550,0,16,a7
551,551,0,14,a8
552,552,0,12,a9
553,553,0,11,aa
554,554,0,0f,ab
555,555,0,0e,ac
556,556,0,0c,ad
557,557,0,0b,ae
558,558,0,0a,af
559,559,0,08,b0
560,560,0,07,b1
561,561,0,06,b2
562,562,0,05,b3
563,563,0,04,b4
564,564,0,04,b5
565,565,0,03,b6
566,566,0,02,b7
567,567,0,02,b8
568,568,0,01,b9
569,569,0,01,ba
570,570,0,00,bb
571,571,0,00,bc
572,572,0,00,bd
573,573,0,00,be
574,574,0,00,bf
575,575,0,00,c0
576,576,0,00,c1
577,577,0,00,c2
578,578,0,00,c3
579,579,0,00,c4
580,580,0,01,c5
581,581,0,01,c6
582,582,0,02,c7
583,583,0,02,c8
584,584,0,03,c9
585,585,0,04,ca
586,586,0,05,cb
587,587,0,06,cc
588,588,0,07,cd
589,589,0,08,ce
590,590,0,09,cf
591,591,0,0a,d0
592,592,0,0c,d1
593,593,0,0d,d2
594,594,0,0e,d3
595,595,0,10,d4
596,596,0,11,d5
597,597,0,13,d6
598,598,0,15,d7
599,599,0,17,d8
600,600,0,18,d9
601,601,0,1a,da
602,602,0,1c,db
603,603,0,1e,dc
604,604,0,20,dd
605,605,0,23,de
606,606,0,25,df
607,607,0,27,e0
608,608,0,29,e1
609,609,0,2c,e2
610,610,0,2e,e3
611,611,0,30,e4
612,612,0,33,e5
613,613,0,36,e6
614,614,0,38,e7
615,615,0,3b,e8
616,616,0,3d,e9
617,617,0,40,ea
618,618,0,43,eb
619,619,0,46,ec
620,620,0,49,ed
621,621,0,4b,ee
622,622,0,4e,ef
623,623,0,51,f0
624,624,0,54,f1
625,625,0,57,f2
626,626,0,5a,f3
627,627,0,5d,f4
628,628,0,60,f5
629,629,0,63,f6
630,630,0,66,f7
631,631,0,6a,f8
632,632,0,6d,f9
633,633,0,70,fa
634,634,0,73,fb
635,635,0,76,fc
636,636,0,79,fd
637,637,0,7c,fe
638,638,0,7f,ff
639,639,0,7f,00
640,640,0,83,01
641,641,0,86,02
642,642,0,89,03
643,643,0,8c,04
644,644,0,8f,05
645,645,0,92,06
646,646,0,95,07
647,647,0,99,08
648,648,0,9c,09
649,649,0,9f,0a
650,650,0,a2,0b
651,651,0,a5,0c
652,652,0,a8,0d
653,653,0,ab,0e
654,654,0,ae,0f
655,655,0,b1,10
656,656,0,b4,11
657,657,0,b6,12
658,658,0,b9,13
659,659,0,bc,14
660,660,0,bf,15
661,661,0,c2,16
662,662,0,c4,17
663,663,0,c7,18
664,664,0,c9,19
665,665,0,cc,1a
666,666,0,cf,1b
667,667,0,d1,1c
668,668,0,d3,1d
669,669,0,d6,1e
670,670,0,d8,1f
671,671,0,da,20
672,672,0,dc,21
673,673,0,df,22
674,674,0,e1,23
675,675,0,e3,24
676,676,0,e5,25
677,677,0,e7,26
678,678,0,e8,27
679,679,0,ea,28
680,680,0,ec,29
681,681,0,ee,2a
682,682,0,ef,2b
683,683,0,f1,2c
684,684,0,f2,2d
685,685,0,f3,2e
686,686,0,f5,2f
687,687,0,f6,30
688,688,0,f7,31
689,689,0,f8,32
690,690,0,f9,33
691,691,0,fa,34
692,692,0,fb,35
693,693,0,fc,36
694,694,0,fd,37
695,695,0,fd,38
696,696,0,fe,39
697,697,0,fe,3a
698,698,0,ff,3b
699,699,0,ff,3c
700,700,0,ff,3d
701,701,0,ff,3e
702,702,0,ff,3f
703,703,0,ff,40
704,704,0,ff,41
705,705,0,ff,42
706,706,0,ff,43
707,707,0,ff,44
708,708,0,fe,45
709,709,0,fe,46
710,710,0,fd,47
711,711,0,fd,48
712,712,0,fc,49
713,713,0,fb,4a
714,714,0,fb,4b
715,715,0,fa,4c
716,716,0,f9,4d
717,717,0,f8,4e
718,718,0,f7,4f
719,719,0,f5,50
720,720,0,f4,51
721,721,0,f3,52
722,722,0,f1,53
723,723,0,f0,54
724,724,0,ee,55
725,725,0,ed,56
726,726,0,eb,57
727,727,0,e9,58
728,728,0,e8,59
729,729,0,e6,5a
730,730,0,e4,5b
731,731,0,e2,5c
732,732,0,e0,5d
733,733,0,de,5e
734,734,0,db,5f
735,735,0,d9,60
736,736,0,d7,61
737,737,0,d5,62
738,738,0,d2,63
739,739,0,d0,64
740,740,0,cd,65
741,741,0,cb,66
742,742,0,c8,67
743,743,0,c6,68
744,744,0,c3,69
745,745,0,c0,6a
746,746,0,bd,6b
747,747,0,bb,6c
748,748,0,b8,6d
749,749,0,b5,6e
750,750,0,b2,6f
751,751,0,af,70
752,752,0,ac,71
753,753,0,a9,72
754,754,0,a6,73
755,755,0,a3,74
756,756,0,a0,75
757,757,0,9d,76
758,758,0,9a,77
759,759,0,97,78
760,760,0,94,79
761,761,0,91,7a
762,762,0,8e,7b
763,763,0,8b,7c
764,764,0,87,7d
765,765,0,84,7e
766,766,0,81,7f
767,767,0,7e,80
768,768,0,7b,81
769,769,0,78,82
770,770,0,74,83
771,771,0,71,84
772,772,0,6e,85
773,773,0,6b,86
774,774,0,68,87
775,775,0,65,88
776,776,0,62,89
777,777,0,5f,8a
778,778,0,5c,8b
779,779,0,59,8c
780,780,0,56,8d
781,781,0,53,8e
782,782,0,50,8f
783,783,0,4d,90
784,784,0,4a,91
785,785,0,47,92
786,786,0,44,93
787,787,0,42,94
788,788,0,3f,95
789,789,0,3c,96
790,790,0,39,97
791,791,0,37,98
792,792,0,34,99
793,793,0,32,9a
794,794,0,2f,9b
795,795,0,2d,9c
796,796,0,2a,9d
797,797,0,28,9e
798,798,0,26,9f
799,799,0,24,a0
800,800,0,21,a1
801,801,0,1f,a2
802,802,0,1d,a3
803,803,0,1b,a4
804,804,0,19,a5
805,805,0,17,a6
806,806,0,16,a7
807,807,0,14,a8
808,808,0,12,a9
809,809,0,11,aa
810,810,0,0f,ab
811,811,0,0e,ac
812,812,0,0c,ad
813,813,0,0b,ae
814,814,0,0a,af
815,815,0,08,b0
816,816,0,07,b1
817,817,0,06,b2
818,818,0,05,b3
819,819,0,04,b4
820,820,0,04,b5
821,821,0,03,b6
822,822,0,02,b7
823,823,0,02,b8
824,824,0,01,b9
825,825,0,01,ba
826,826,0,00,bb
827,827,0,00,bc
828,828,0,00,bd
829,829,0,00,be
830,830,0,00,bf
831,831,0,00,c0
832,832,0,00,c1
833,833,0,00,c2
834,834,0,00,c3
835,835,0,00,c4
836,836,0,01,c5
837,837,0,01,c6
838,838,0,02,c7
839,839,0,02,c8
840,840,0,03,c9
841,841,0,04,ca
842,842,0,05,cb
843,843,0,06,cc
844,844,0,07,cd
845,845,0,08,ce
846,846,0,09,cf
847,847,0,0a,d0
848,848,0,0c,d1
849,849,0,0d,d2
850,850,0,0e,d3
851,851,0,10,d4
852,852,0,11,d5
853,853,0,13,d6
854,854,0,15,d7
855,855,0,17,d8
856,856,0,18,d9
857,857,0,1a,da
858,858,0,1c,db
859,859,0,1e,dc
860,860,0,20,dd
861,861,0,23,de
862,862,0,25,df
863,863,0,27,e0
864,864,0,29,e1
865,865,0,2c,e2
866,866,0,2e,e3
867,867,0,30,e4
868,868,0,33,e5
869,869,0,36,e6
870,870,0,38,e7
871,871,0,3b,e8
872,872,0,3d,e9
873,873,0,40,ea
874,874,0,43,eb
875,875,0,46,ec
876,876,0,49,ed
877,877,0,4b,ee
878,878,0,4e,ef
879,879,0,51,f0
880,880,0,54,f1
881,881,0,57,f2
882,882,0,5a,f3
883,883,0,5d,f4
884,884,0,60,f5
885,885,0,63,f6
886,886,0,66,f7
887,887,0,6a,f8
888,888,0,6d,f9
889,889,0,70,fa
890,890,0,73,fb
891,891,0,76,fc
892,892,0,79,fd
893,893,0,7c,fe
894,894,0,7f,ff
895,895,0,7f,00
896,896,0,83,01
897,897,0,86,02
898,898,0,89,03
899,899,0,8c,04
900,900,0,8f,05
901,901,0,92,06
902,902,0,95,07
903,903,0,99,08
904,904,0,9c,09
905,905,0,9f,0a
906,906,0,a2,0b
907,907,0,a5,0c
908,908,0,a8,0d
909,909,0,ab,0e
910,910,0,ae,0f
911,911,0,b1,10
912,912,0,b4,11
913,913,0,b6,12
914,914,0,b9,13
915,915,0,bc,14
916,916,0,bf,15
917,917,0,c2,16
918,918,0,c4,17
919,919,0,c7,18
920,920,0,c9,19
921,921,0,cc,1a
922,922,0,cf,1b
923,923,0,d1,1c
924,924,0,d3,1d
925,925,0,d6,1e
926,926,0,d8,1f
927,927,0,da,20
928,928,0,dc,21
929,929,0,df,22
930,930,0,e1,23
931,931,0,e3,24
932,932,0,e5,25
933,933,0,e7,26
934,934,0,e8,27
935,935,0,ea,28
936,936,0,ec,29
937,937,0,ee,2a
938,938,0,ef,2b
939,939,0,f1,2c
940,940,0,f2,2d
941,941,0,f3,2e
942,942,0,f5,2f
943,943,0,f6,30
944,944,0,f7,31
945,945,0,f8,32
946,946,0,f9,33
947,947,0,fa,34
948,948,0,fb,35
949,949,0,fc,36
950,950,0,fd,37
951,951,0,fd,38
952,952,0,fe,39
953,953,0,fe,3a
954,954,0,ff,3b
955,955,0,ff,3c
956,956,0,ff,3d
957,957,0,ff,3e
958,958,0,ff,3f
959,959,0,ff,40
960,960,0,ff,41
961,961,0,ff,42
962,962,0,ff,43
963,963,0,ff,44
964,964,0,fe,45
965,965,0,fe,46
966,966,0,fd,47
967,967,0,fd,48
968,968,0,fc,49
969,969,0,fb,4a
970,970,0,fb,4b
971,971,0,fa,4c
972,972,0,f9,4d
973,973,0,f8,4e
974,974,0,f7,4f
975,975,0,f5,50
976,976,0,f4,51
977,977,0,f3,52
978,978,0,f1,53
979,979,0,f0,54
980,980,0,ee,55
981,981,0,ed,56
982,982,0,eb,57
983,983,0,e9,58
984,984,0,e8,59
985,985,0,e6,5a
986,986,0,e4,5b
987,987,0,e2,5c
988,988,0,e0,5d
989,989,0,de,5e
990,990,0,db,5f
991,991,0,d9,60
992,992,0,d7,61
993,993,0,d5,62
994,994,0,d2,63
995,995,0,d0,64
996,996,0,cd,65
997,997,0,cb,66
998,998,0,c8,67
999,999,0,c6,68
1000,1000,0,c3,69
1001,1001,0,c0,6a
1002,1002,0,bd,6b
1003,1003,0,bb,6c
1004,1004,0,b8,6d
1005,1005,0,b5,6e
1006,1006,0,b2,6f
1007,1007,0,af,70
1008,1008,0,ac,71
1009,1009,0,a9,72
1010,1010,0,a6,73
1011,1011,0,a3,74
1012,1012,0,a0,75
1013,1013,0,9d,76
1014,1014,0,9a,77
1015,1015,0,97,78
1016,1016,0,94,79
1017,1017,0,91,7a
1018,1018,0,8e,7b
1019,1019,0,8b,7c
1020,1020,0,87,7d
1021,1021,0,84,7e
1022,1022,0,81,7f
1023,1023,0,7e,80
